sample	population	superpopulation	sex
HG00100	GBR	EUR	female
HG00103	GBR	EUR	male
HG00108	GBR	EUR	male
HG00114	GBR	EUR	male
HG00116	GBR	EUR	male
HG00117	GBR	EUR	male
HG00132	GBR	EUR	female
HG00133	GBR	EUR	female
HG00137	GBR	EUR	female
HG00139	GBR	EUR	male
HG00141	GBR	EUR	male
HG00149	GBR	EUR	male
HG00181	FIN	EUR	male
HG00237	GBR	EUR	female
HG00243	GBR	EUR	male
HG00251	GBR	EUR	male
HG00253	GBR	EUR	female
HG00267	FIN	EUR	male
HG00271	FIN	EUR	male
HG00311	FIN	EUR	male
HG00315	FIN	EUR	female
HG00324	FIN	EUR	female
HG00331	FIN	EUR	female
HG00344	FIN	EUR	female
HG00345	FIN	EUR	male
HG00358	FIN	EUR	male
HG00362	FIN	EUR	female
HG00366	FIN	EUR	male
HG00367	FIN	EUR	female
HG00373	FIN	EUR	female
HG00380	FIN	EUR	female
HG00384	FIN	EUR	female
HG00406	CHS	EAS	male
HG00410	CHS	EAS	female
HG00475	CHS	EAS	male
HG00533	CHS	EAS	male
HG00565	CHS	EAS	male
HG00583	CHS	EAS	male
HG00596	CHS	EAS	female
HG00608	CHS	EAS	female
HG00619	CHS	EAS	male
HG00622	CHS	EAS	male
HG00623	CHS	EAS	female
HG00629	CHS	EAS	female
HG00631	CHS	EAS	male
HG00634	CHS	EAS	male
HG00690	CHS	EAS	female
HG00728	CHS	EAS	male
HG00759	CDX	EAS	female
HG00851	CDX	EAS	female
HG00867	CDX	EAS	female
HG01031	CDX	EAS	male
HG01051	PUR	AMR	male
HG01058	PUR	AMR	female
HG01066	PUR	AMR	male
HG01072	PUR	AMR	male
HG01080	PUR	AMR	female
HG01083	PUR	AMR	female
HG01086	PUR	AMR	female
HG01098	PUR	AMR	female
HG01105	PUR	AMR	female
HG01122	CLM	AMR	female
HG01131	CLM	AMR	female
HG01133	CLM	AMR	male
HG01134	CLM	AMR	female
HG01148	CLM	AMR	male
HG01164	PUR	AMR	male
HG01177	PUR	AMR	female
HG01198	PUR	AMR	female
HG01247	PUR	AMR	male
HG01248	PUR	AMR	female
HG01254	CLM	AMR	female
HG01277	CLM	AMR	male
HG01303	PUR	AMR	female
HG01326	PUR	AMR	female
HG01341	CLM	AMR	male
HG01342	CLM	AMR	female
HG01350	CLM	AMR	male
HG01351	CLM	AMR	female
HG01353	CLM	AMR	male
HG01357	CLM	AMR	female
HG01389	CLM	AMR	male
HG01398	PUR	AMR	male
HG01403	PUR	AMR	female
HG01405	PUR	AMR	male
HG01412	PUR	AMR	male
HG01431	CLM	AMR	male
HG01432	CLM	AMR	female
HG01444	CLM	AMR	female
HG01455	CLM	AMR	male
HG01488	CLM	AMR	male
HG01489	CLM	AMR	female
HG01500	IBS	EUR	male
HG01506	IBS	EUR	male
HG01513	IBS	EUR	female
HG01524	IBS	EUR	male
HG01527	IBS	EUR	male
HG01566	PEL	AMR	female
HG01572	PEL	AMR	female
HG01593	PJL	SAS	female
HG01608	IBS	EUR	male
HG01619	IBS	EUR	male
HG01624	IBS	EUR	male
HG01668	IBS	EUR	female
HG01672	IBS	EUR	male
HG01678	IBS	EUR	male
HG01679	IBS	EUR	female
HG01702	IBS	EUR	female
HG01762	IBS	EUR	female
HG01785	IBS	EUR	male
HG01794	CDX	EAS	female
HG01802	CDX	EAS	female
HG01806	CDX	EAS	female
HG01809	CDX	EAS	female
HG01849	KHV	EAS	male
HG01851	KHV	EAS	female
HG01855	KHV	EAS	female
HG01859	KHV	EAS	female
HG01878	KHV	EAS	female
HG01883	ACB	AFR	female
HG01941	PEL	AMR	male
HG01961	PEL	AMR	male
HG01973	PEL	AMR	female
HG01976	PEL	AMR	female
HG01980	PEL	AMR	female
HG01982	PEL	AMR	male
HG01986	ACB	AFR	male
HG01997	PEL	AMR	female
HG02008	PEL	AMR	male
HG02009	ACB	AFR	male
HG02017	KHV	EAS	male
HG02052	ACB	AFR	female
HG02064	KHV	EAS	male
HG02073	KHV	EAS	male
HG02085	KHV	EAS	male
HG02086	KHV	EAS	female
HG02104	PEL	AMR	male
HG02105	PEL	AMR	female
HG02113	KHV	EAS	female
HG02121	KHV	EAS	female
HG02128	KHV	EAS	male
HG02134	KHV	EAS	male
HG02137	KHV	EAS	male
HG02184	CDX	EAS	female
HG02190	CDX	EAS	female
HG02221	IBS	EUR	male
HG02252	PEL	AMR	female
HG02253	PEL	AMR	male
HG02272	PEL	AMR	female
HG02292	PEL	AMR	female
HG02298	PEL	AMR	female
HG02304	PEL	AMR	male
HG02312	PEL	AMR	female
HG02317	ACB	AFR	male
HG02345	PEL	AMR	female
HG02367	CDX	EAS	male
HG02374	CDX	EAS	male
HG02383	CDX	EAS	male
HG02385	CDX	EAS	male
HG02391	CDX	EAS	male
HG02409	CDX	EAS	male
HG02445	ACB	AFR	male
HG02455	ACB	AFR	male
HG02470	ACB	AFR	male
HG02484	ACB	AFR	male
HG02502	ACB	AFR	female
HG02513	KHV	EAS	female
HG02545	ACB	AFR	male
HG02558	ACB	AFR	female
HG02583	GWD	AFR	female
HG02603	PJL	SAS	male
HG02614	GWD	AFR	female
HG02628	GWD	AFR	male
HG02634	GWD	AFR	male
HG02651	PJL	SAS	male
HG02681	PJL	SAS	male
HG02688	PJL	SAS	female
HG02724	PJL	SAS	male
HG02774	PJL	SAS	male
HG02775	PJL	SAS	female
HG02778	PJL	SAS	female
HG02807	GWD	AFR	male
HG02808	GWD	AFR	female
HG02813	GWD	AFR	male
HG02884	GWD	AFR	male
HG02885	GWD	AFR	female
HG02887	GWD	AFR	male
HG02938	ESN	AFR	male
HG02944	ESN	AFR	male
HG02977	ESN	AFR	male
HG03028	GWD	AFR	female
HG03055	MSL	AFR	female
HG03057	MSL	AFR	male
HG03061	MSL	AFR	female
HG03066	MSL	AFR	male
HG03095	MSL	AFR	female
HG03115	ESN	AFR	male
HG03129	ESN	AFR	female
HG03157	ESN	AFR	male
HG03160	ESN	AFR	male
HG03169	ESN	AFR	male
HG03196	ESN	AFR	male
HG03234	PJL	SAS	male
HG03303	ESN	AFR	female
HG03342	ESN	AFR	female
HG03370	ESN	AFR	male
HG03378	MSL	AFR	female
HG03401	MSL	AFR	female
HG03419	MSL	AFR	female
HG03442	MSL	AFR	male
HG03451	MSL	AFR	male
HG03472	MSL	AFR	male
HG03490	PJL	SAS	male
HG03594	BEB	SAS	male
HG03604	BEB	SAS	female
HG03611	BEB	SAS	female
HG03619	PJL	SAS	female
HG03634	PJL	SAS	female
HG03649	PJL	SAS	male
HG03680	STU	SAS	male
HG03681	STU	SAS	male
HG03692	STU	SAS	female
HG03694	STU	SAS	male
HG03706	PJL	SAS	female
HG03720	ITU	SAS	male
HG03722	ITU	SAS	female
HG03753	STU	SAS	male
HG03754	STU	SAS	female
HG03767	PJL	SAS	male
HG03774	ITU	SAS	female
HG03781	ITU	SAS	female
HG03784	ITU	SAS	female
HG03786	ITU	SAS	male
HG03788	ITU	SAS	male
HG03789	ITU	SAS	female
HG03796	BEB	SAS	female
HG03808	BEB	SAS	female
HG03826	BEB	SAS	female
HG03832	BEB	SAS	female
HG03857	STU	SAS	female
HG03858	STU	SAS	female
HG03868	ITU	SAS	female
HG03870	ITU	SAS	male
HG03872	ITU	SAS	male
HG03873	ITU	SAS	female
HG03886	STU	SAS	female
HG03898	STU	SAS	female
HG03907	BEB	SAS	female
HG03911	BEB	SAS	male
HG03913	BEB	SAS	female
HG03920	BEB	SAS	male
HG03925	BEB	SAS	female
HG03940	BEB	SAS	female
HG03990	STU	SAS	male
HG04017	ITU	SAS	male
HG04029	STU	SAS	female
HG04035	STU	SAS	female
HG04039	STU	SAS	male
HG04059	ITU	SAS	female
HG04070	ITU	SAS	female
HG04107	STU	SAS	male
HG04164	BEB	SAS	male
HG04183	BEB	SAS	female
HG04186	BEB	SAS	female
HG04225	ITU	SAS	male
HG04227	STU	SAS	female
NA06994	CEU	EUR	male
NA07000	CEU	EUR	female
NA07037	CEU	EUR	female
NA11830	CEU	EUR	female
NA11831	CEU	EUR	male
NA11994	CEU	EUR	male
NA12043	CEU	EUR	male
NA12155	CEU	EUR	male
NA12234	CEU	EUR	female
NA12272	CEU	EUR	male
NA12347	CEU	EUR	male
NA12348	CEU	EUR	female
NA12489	CEU	EUR	female
NA12761	CEU	EUR	female
NA12762	CEU	EUR	male
NA12814	CEU	EUR	male
NA18519	YRI	AFR	male
NA18560	CHB	EAS	female
NA18565	CHB	EAS	female
NA18570	CHB	EAS	female
NA18577	CHB	EAS	female
NA18593	CHB	EAS	female
NA18595	CHB	EAS	female
NA18613	CHB	EAS	male
NA18615	CHB	EAS	female
NA18616	CHB	EAS	female
NA18620	CHB	EAS	male
NA18624	CHB	EAS	male
NA18631	CHB	EAS	female
NA18637	CHB	EAS	male
NA18638	CHB	EAS	male
NA18640	CHB	EAS	female
NA18645	CHB	EAS	male
NA18879	YRI	AFR	male
NA18948	JPT	EAS	male
NA18951	JPT	EAS	female
NA18963	JPT	EAS	female
NA18965	JPT	EAS	male
NA18987	JPT	EAS	female
NA18990	JPT	EAS	male
NA18993	JPT	EAS	female
NA18999	JPT	EAS	female
NA19017	LWK	AFR	female
NA19026	LWK	AFR	male
NA19036	LWK	AFR	female
NA19056	JPT	EAS	male
NA19058	JPT	EAS	male
NA19070	JPT	EAS	male
NA19077	JPT	EAS	female
NA19084	JPT	EAS	female
NA19085	JPT	EAS	male
NA19089	JPT	EAS	male
NA19090	JPT	EAS	female
NA19095	YRI	AFR	female
NA19102	YRI	AFR	female
NA19108	YRI	AFR	female
NA19119	YRI	AFR	male
NA19141	YRI	AFR	male
NA19175	YRI	AFR	male
NA19190	YRI	AFR	female
NA19198	YRI	AFR	male
NA19225	YRI	AFR	female
NA19316	LWK	AFR	female
NA19317	LWK	AFR	male
NA19328	LWK	AFR	female
NA19332	LWK	AFR	female
NA19376	LWK	AFR	male
NA19378	LWK	AFR	female
NA19457	LWK	AFR	female
NA19462	LWK	AFR	female
NA19649	MXL	AMR	male
NA19652	MXL	AMR	male
NA19657	MXL	AMR	female
NA19658	MXL	AMR	male
NA19661	MXL	AMR	male
NA19681	MXL	AMR	female
NA19682	MXL	AMR	male
NA19703	ASW	AFR	male
NA19704	ASW	AFR	female
NA19707	ASW	AFR	female
NA19717	MXL	AMR	male
NA19723	MXL	AMR	male
NA19728	MXL	AMR	female
NA19731	MXL	AMR	female
NA19741	MXL	AMR	male
NA19746	MXL	AMR	female
NA19750	MXL	AMR	male
NA19780	MXL	AMR	male
NA19782	MXL	AMR	female
NA19788	MXL	AMR	female
NA19789	MXL	AMR	male
NA19792	MXL	AMR	male
NA19794	MXL	AMR	female
NA19818	ASW	AFR	male
NA19835	ASW	AFR	female
NA19909	ASW	AFR	female
NA19913	ASW	AFR	female
NA19917	ASW	AFR	female
NA19921	ASW	AFR	female
